,Unibail-Rodamco,LOréal,Worldline SA,EssilorLuxottica,Bouygues,LEGRAND,SAFRAN,Dassault Systèmes,Sodexo,Publicis,Schneider Electric,Hermès (Hermes International,Accor,LVMH Moet Hennessy Louis Vuitton,Air Liquide
2020-04-03,46.0,,50.7,97.78,56.4,63.3,120.0,59.02,,27.12,74.82,23.4,,,
2020-04-02,49.96,239.4,51.86,95.22,56.74,68.82,126.3,57.62,25.31,25.1,73.5,22.99,602.4,329.2,112.95
2020-04-01,49.37,233.8,51.88,93.0,57.54,66.74,134.05,58.14,24.55,24.77,73.84,23.83,597.8,321.9,114.05
2020-03-31,49.91,238.3,53.6,99.08,58.98,80.8,131.05,60.86,26.64,23.28,76.0,25.0,630.8,337.0,114.6
2020-03-30,49.2,244.2,53.6,100.7,58.12,83.96,130.65,59.26,27.43,23.55,79.08,25.02,630.6,349.6,112.15
2020-03-27,53.28,237.1,53.95,101.45,57.94,87.12,128.35,62.92,28.47,22.84,80.12,26.34,642.4,347.0,107.0
2020-03-26,56.26,252.7,55.6,108.1,56.04,89.9,126.55,62.24,30.35,25.44,83.3,26.39,634.0,360.75,111.7
2020-03-25,56.98,252.0,55.5,111.85,60.24,84.34,139.8,61.68,29.49,25.6,74.0,25.99,628.0,374.0,110.25
2020-03-24,62.76,235.8,52.0,107.55,54.74,69.54,126.55,59.64,29.14,25.1,74.9,25.7,619.0,336.15,108.1
2020-03-23,66.0,217.1,47.34,98.54,48.59,58.12,116.8,56.94,27.1,21.77,67.7,24.03,587.8,309.75,106.95
2020-03-20,67.56,226.3,47.14,110.8,54.1,66.28,124.35,57.16,27.98,22.57,69.76,26.53,601.0,310.9,103.0
2020-03-19,57.64,228.0,38.18,100.0,50.84,54.32,123.3,49.64,24.58,22.11,67.22,23.31,540.8,295.0,104.55
2020-03-18,50.0,222.7,38.9,99.08,52.28,53.82,107.65,55.76,24.99,21.32,66.6,23.85,514.0,281.1,98.5
2020-03-17,54.06,221.2,44.18,95.84,51.46,69.34,106.95,52.76,25.21,22.67,71.94,25.43,560.2,312.9,105.8
2020-03-16,59.0,206.2,43.98,95.48,46.69,72.84,108.25,56.22,23.74,22.87,69.14,21.57,547.0,288.0,98.86
2020-03-13,74.36,220.0,52.05,102.75,53.4,88.1,122.5,63.18,26.24,25.56,70.92,24.27,588.6,315.85,105.0
2020-03-12,70.84,214.0,52.7,102.4,52.94,89.32,118.2,63.62,24.96,28.22,73.78,23.02,564.0,309.95,99.84
2020-03-11,91.0,226.5,58.6,108.15,61.2,102.95,130.0,72.84,30.58,29.94,83.04,27.23,591.2,328.15,113.0
2020-03-10,90.38,237.0,61.0,107.85,63.78,106.95,132.5,78.2,31.99,30.0,81.62,26.96,597.8,342.4,112.65
2020-03-09,89.44,242.7,62.05,110.0,62.78,108.5,132.85,77.46,32.37,30.71,79.48,28.08,610.6,328.25,111.45
2020-03-06,98.8,252.7,65.4,120.25,64.94,116.2,140.7,79.66,34.21,32.43,90.2,30.09,634.0,360.5,123.3
2020-03-05,101.55,257.6,69.15,124.85,69.34,120.4,144.65,82.94,37.07,33.28,96.46,33.06,659.4,370.4,125.9
2020-03-04,107.05,259.1,70.8,128.2,68.94,127.8,144.35,84.68,36.4,34.91,95.3,33.64,651.8,385.8,129.8
2020-03-03,107.0,252.6,71.6,128.8,69.5,126.55,145.3,87.08,35.75,34.48,94.74,32.83,646.0,380.6,125.5
2020-03-02,108.0,249.0,70.5,121.85,68.8,123.7,141.05,85.88,36.02,33.87,92.48,33.02,638.6,381.3,126.35
2020-02-28,107.7,239.1,69.35,121.0,69.16,122.5,140.3,86.44,35.64,34.14,90.3,32.0,620.2,369.35,122.7
2020-02-27,112.8,247.3,71.35,126.7,72.08,132.0,146.0,89.64,37.51,37.02,94.02,33.6,639.4,375.15,127.25
2020-02-26,117.5,252.7,72.85,129.45,73.38,131.3,147.15,92.72,38.04,37.93,96.96,34.29,656.0,381.3,131.4
2020-02-25,116.9,250.0,71.7,130.6,75.66,132.45,147.0,95.14,38.71,38.22,96.16,35.1,672.0,377.0,131.0
2020-02-24,119.0,255.1,72.0,133.5,75.78,138.4,149.4,97.08,38.99,40.47,97.74,35.9,671.0,383.0,132.5
2020-02-21,122.8,266.1,74.85,143.15,77.34,142.5,155.1,100.85,40.69,41.47,101.05,38.33,699.8,404.25,138.85
2020-02-20,126.0,267.8,75.5,142.55,76.74,145.7,157.35,101.15,41.01,42.2,103.05,38.77,704.8,411.55,139.3
2020-02-19,127.65,271.1,77.3,142.5,77.08,144.2,156.8,100.7,39.23,41.1,98.06,38.84,701.6,419.6,141.1
2020-02-18,126.25,269.1,75.8,140.25,76.76,144.7,155.1,99.58,38.37,41.03,97.16,38.67,700.0,409.15,139.9
2020-02-17,128.8,267.8,74.85,140.35,77.1,143.95,155.25,99.9,38.79,40.85,98.0,38.85,704.8,414.85,141.35
2020-02-14,126.95,267.9,73.5,139.15,76.3,144.5,154.75,100.45,38.41,40.68,96.9,38.66,705.6,415.1,139.0
2020-02-13,125.75,268.7,72.7,139.7,72.7,145.7,154.45,98.44,37.75,40.86,96.32,38.5,707.0,421.65,140.15
2020-02-12,127.8,271.1,73.25,138.75,74.4,147.75,155.5,98.98,37.85,40.95,96.58,38.17,697.2,425.75,139.3
2020-02-11,125.05,272.7,72.8,138.3,73.84,150.35,156.2,98.84,37.7,40.65,95.96,37.89,697.4,414.5,137.35
2020-02-10,122.1,270.9,72.3,136.65,72.94,149.25,154.4,97.42,37.39,40.79,95.44,37.87,691.4,412.7,134.85
2020-02-07,122.9,270.0,69.85,136.8,73.42,151.2,159.15,96.66,37.12,40.37,95.6,38.63,689.8,413.9,134.75
2020-02-06,123.25,280.0,69.25,137.05,73.02,147.1,156.75,96.5,36.76,41.47,96.72,38.8,691.2,417.55,135.3
2020-02-05,125.4,262.0,67.5,137.75,73.7,148.3,160.1,96.32,37.19,39.88,93.68,37.66,689.6,415.85,135.2
2020-02-04,123.8,262.0,63.3,136.05,73.6,148.8,158.9,95.6,36.66,40.0,92.24,37.88,679.6,412.55,133.2
2020-02-03,122.8,254.5,61.8,135.55,72.36,146.1,156.55,95.46,35.6,39.93,91.76,37.05,678.0,398.0,131.9
